brand,name,seller,reviews_rating_number,reviews_amount,old_money,new_money
,"Notebook Vaio Fe16 Amd Ryzen 7-5825u Linux 16gb 512gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo Cinza Grafite Vjfe69f11xb0121h Memória Expansível até 64GB",Por Vaio ,5.0,(20),4.799,3.297
,"Apple MacBook Air (13 polegadas, 2020, Chip M1, 256 GB de SSD) - Cinza-espacial",,4.9,(1064),5.480,526
LENOVO,Notebook Lenovo Ideapad 1 Ryzen 5 7520U 8gb 512gb W11 15.6 HD 82x5000gbr,Por Lenovo ,4.8,(793),2.439,234
,Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,Por 123 Comprou ,4.6,(470),2.064,1.250
LENOVO,Notebook Lenovo Ideapad 1 Ryzen 5 - 7520u 8gb 512gb Ssd Linux 15.6 82X5S00500,Por Lenovo ,4.8,(793),2.179,209
ASUS,"Notebook Asus Vivobook 15 X1504za Intel Core I5 1235u 8gb Ram 512gb Ssd Windows 11 Tela 15,6 Fhd Silver - Nj986w",Por Fast Shop ,4.9,(255),2.858,238
HP,Notebook Hp 250r G9 Intel Core I5 1335u 8gb 256gb Ssd 15.6 W11 Pro Ay6w3la,Por 2Eletro ,4.2,(5),7.000,2.999
ACER,Notebook Acer Aspire 15 555Q Intel Ci5 13gen 8gb 256ssd W11,Por Mercado Livre ,4.8,(408),4.372,2.789
LENOVO,Notebook Ideapad 1 R3 8gb 256gb W11 15.6 82x5000abr AMD Ryzen 3,Por Lenovo ,4.8,(793),2.269,218
LENOVO,"Notebook Lenovo Ideapad 1i Intel Core i3 1215U 4GB 256GB Linux 15,6"" HD 82VYS00600",Por Lenovo ,4.8,(5097),1.979,190
ASUS,Notebook Asus Vivobook Go Core I3 N305 4gb 256ssd W11 Fhd,Por Mercado Livre ,4.8,(561),2.599,2.369
ASUS,"Notebook Asus Vivobook 15 X1504za Intel Core I5 1235u 8gb Ram 256gb Ssd Linux Keepos Tela 15,6 Fhd Blue - Nj982",Por Mercado Livre ,4.7,(217),3.195,3.035
ASUS,"Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 16gb Ram 512gb Ssd Linux Keepos Intel Iris Xe Tela 15,6 Led Fhd Blue - Nj1746",Por Asus ,4.8,(12),3.599,3.113
ASUS,"Notebook ASUS Vivobook Go E1504GA Intel Core i3 N305 8GB Ram 512GB SSD Windows 11 Tela 15,6"" FHD Silver - NJ435W",Por Fast Shop ,4.9,(640),2.528,210
,"Notebook Vaio Fe16 Amd Ryzen 5-5625u Linux 12gb 512gb Ssd Tela 16"" Ips Wuxga Antirreflexo Cinza Grafite Vjfe69f11x-b1211h Memória Expansível até 64GB",Por Eshop ,4.8,(20),3.849,3.069
,"Notebook Vaio Fe16 Amd Ryzen 7-5825u Linux 32gb 512gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11xb0221h - Memória Expansível até 64GB",Por Vaio ,4.8,(23),4.999,3.782
DELL,Notebook Dell 15.6 Fhd I5 8gb 512gb Ssd Rtx 3050,Por Dell ,4.9,(57),5.699,5.399
ASUS,Notebook Asus Vivobook 16 Intel Core I7 1355U 16GB RAM 1TB SSD Windows 11 Home Tela 16 Fhd Cool Silver – X1605VA-MB764W,Por Mercado Livre ,4.8,(142),5.199,433
